,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
8,2515,363,2878,6.928374655647383
11,3373,173,3546,19.4971098265896
18,1046,148,1194,7.067567567567568
21,2035,148,2183,13.75
35,1338,148,1486,9.04054054054054
37,1377,1153,2530,1.194275802254987
40,3855,127,3982,30.35433070866142
53,2911,90,3001,32.34444444444444
57,3144,203,3347,15.48768472906404
59,1701,140,1841,12.15
60,1832,195,2027,9.394871794871795
65,3531,130,3661,27.161538461538463
67,1210,295,1505,4.101694915254237
94,3364,160,3524,21.025
99,3453,137,3590,25.204379562043798
103,3753,231,3984,16.246753246753247
110,2399,180,2579,13.327777777777778
113,2256,74,2330,30.486486486486488
126,2663,173,2836,15.393063583815028
133,3346,94,3440,35.59574468085106
135,3885,200,4085,19.425
138,3115,291,3406,10.70446735395189
147,3037,175,3212,17.354285714285716
155,2969,73,3042,40.67123287671233
162,2155,207,2362,10.41062801932367
165,2404,303,2707,7.933993399339934
179,2154,203,2357,10.610837438423646
183,3934,126,4060,31.22222222222222
186,1361,180,1541,7.561111111111111
189,1418,202,1620,7.01980198019802
202,3609,340,3949,10.614705882352942
207,2720,1324,4044,2.054380664652568
208,2268,309,2577,7.339805825242719
216,1555,226,1781,6.880530973451328
218,3184,113,3297,28.17699115044248
239,3464,145,3609,23.889655172413796
247,2496,193,2689,12.932642487046632
251,2379,122,2501,19.5
255,2003,81,2084,24.7283950617284
256,3291,297,3588,11.08080808080808
265,2045,291,2336,7.027491408934708
270,2537,132,2669,19.21969696969697
275,1834,263,2097,6.973384030418251
278,2688,95,2783,28.294736842105262
281,3130,79,3209,39.62025316455696
302,1521,43,1564,35.372093023255815
335,3332,300,3632,11.106666666666667
337,3093,214,3307,14.453271028037385
355,1843,147,1990,12.537414965986397
363,3312,310,3622,10.683870967741935
367,1976,89,2065,22.202247191011235
385,3217,131,3348,24.557251908396942
386,1253,134,1387,9.350746268656716
388,3819,173,3992,22.07514450867052
393,2552,265,2817,9.630188679245284
407,3431,110,3541,31.19090909090909
418,3551,211,3762,16.829383886255926
421,3367,118,3485,28.533898305084747
431,2456,91,2547,26.98901098901099
434,1450,112,1562,12.946428571428571
438,3508,167,3675,21.005988023952096
442,1831,267,2098,6.857677902621723
447,3686,367,4053,10.043596730245232
460,3149,90,3239,34.98888888888889
467,2996,148,3144,20.24324324324324
468,3544,140,3684,25.314285714285717
469,1643,307,1950,5.351791530944626
470,1689,102,1791,16.558823529411764
488,2432,293,2725,8.300341296928327
501,3621,130,3751,27.853846153846156
502,3873,146,4019,26.52739726027397
511,2873,105,2978,27.36190476190476
522,1912,235,2147,8.136170212765958
534,2346,157,2503,14.94267515923567
540,2977,135,3112,22.05185185185185
541,1668,375,2043,4.448
543,2312,90,2402,25.68888888888889
544,3699,91,3790,40.64835164835165
546,3538,83,3621,42.62650602409639
548,3173,134,3307,23.67910447761194
555,18,3356,3374,0.0053635280095351
561,2919,37,2956,78.89189189189189
574,222,3616,3838,0.0613938053097345
577,702,3063,3765,0.2291870714985308
584,1312,132,1444,9.93939393939394
590,2089,251,2340,8.322709163346614
592,3233,113,3346,28.61061946902655
595,3769,285,4054,13.224561403508773
602,3437,249,3686,13.803212851405622
606,2886,71,2957,40.647887323943664
615,1948,194,2142,10.041237113402062
617,2443,163,2606,14.987730061349692
636,3523,252,3775,13.98015873015873
652,2471,152,2623,16.25657894736842
665,1911,210,2121,9.1
675,1477,63,1540,23.444444444444443
676,3245,187,3432,17.352941176470587
699,1824,133,1957,13.714285714285714
700,3772,54,3826,69.85185185185185
715,789,2728,3517,0.2892228739002933
720,999,2481,3480,0.4026602176541717
727,2676,53,2729,50.490566037735846
728,3714,220,3934,16.881818181818183
729,1387,197,1584,7.040609137055838
740,2875,98,2973,29.336734693877556
753,3126,185,3311,16.897297297297296
755,645,155,800,4.161290322580645
760,2114,299,2413,7.070234113712375
767,2400,88,2488,27.272727272727277
788,2254,34,2288,66.29411764705883
791,2760,69,2829,40.0
803,1071,188,1259,5.696808510638298
808,2173,179,2352,12.139664804469271
810,2197,145,2342,15.151724137931035
812,3526,78,3604,45.20512820512821
820,3438,331,3769,10.386706948640484
822,2849,390,3239,7.305128205128205
834,2104,146,2250,14.41095890410959
843,1399,84,1483,16.654761904761905
847,3651,98,3749,37.255102040816325
848,3040,562,3602,5.409252669039146
851,3176,109,3285,29.137614678899084
852,2525,76,2601,33.223684210526315
853,2516,232,2748,10.844827586206897
860,2750,84,2834,32.73809523809524
865,1276,394,1670,3.238578680203046
872,2970,72,3042,41.25
873,574,3453,4027,0.1662322618013322
883,3130,235,3365,13.319148936170214
885,1025,69,1094,14.855072463768115
886,3616,427,4043,8.468384074941453
900,2015,156,2171,12.916666666666666
903,2724,187,2911,14.566844919786096
904,3056,94,3150,32.51063829787234
913,2207,164,2371,13.457317073170731
915,2686,146,2832,18.3972602739726
927,3368,264,3632,12.757575757575758
932,2006,168,2174,11.94047619047619
939,3653,126,3779,28.99206349206349
941,2554,270,2824,9.45925925925926
960,3123,74,3197,42.2027027027027
967,3755,78,3833,48.14102564102564
980,3583,458,4041,7.823144104803493
983,3808,117,3925,32.547008547008545
992,1355,631,1986,2.1473851030110933
996,1983,98,2081,20.23469387755102
1001,736,93,829,7.913978494623656
1012,2503,257,2760,9.73929961089494
1021,3557,382,3939,9.311518324607327
1028,1555,103,1658,15.097087378640778
1029,2972,192,3164,15.479166666666666
1032,3870,75,3945,51.6
1038,3664,66,3730,55.51515151515152
1041,2708,114,2822,23.75438596491228
1042,1626,164,1790,9.914634146341465
1048,3008,103,3111,29.203883495145632
1053,2661,200,2861,13.305
1055,3289,194,3483,16.95360824742268
1069,2251,385,2636,5.846753246753247
1073,1307,40,1347,32.675
1074,3693,204,3897,18.102941176470587
1078,2638,43,2681,61.34883720930232
1084,3277,168,3445,19.50595238095238
1099,2786,234,3020,11.905982905982906
1105,2241,108,2349,20.75
1119,2799,59,2858,47.440677966101696
1121,3463,65,3528,53.27692307692308
1123,2705,1310,4015,2.064885496183206
1137,3921,68,3989,57.66176470588236
1152,2570,50,2620,51.4
1154,1972,114,2086,17.29824561403509
1162,3918,158,4076,24.79746835443038
1167,2545,78,2623,32.62820512820513
1197,809,207,1016,3.9082125603864735
1208,2986,242,3228,12.338842975206612
1220,3786,127,3913,29.811023622047244
1231,2935,339,3274,8.657817109144542
1245,3448,413,3861,8.34866828087167
1265,2184,168,2352,13.0
1283,2876,299,3175,9.618729096989966
1292,1969,95,2064,20.726315789473684
1299,2066,155,2221,13.329032258064515
1302,3363,189,3552,17.793650793650794
1307,3108,226,3334,13.752212389380531
1310,2836,77,2913,36.83116883116883
1315,3099,49,3148,63.24489795918368
1318,704,175,879,4.022857142857143
1323,2879,175,3054,16.451428571428572
1324,3439,139,3578,24.74100719424461
1338,2990,276,3266,10.833333333333334
1344,2381,99,2480,24.05050505050505
1346,3511,207,3718,16.96135265700483
1358,2574,324,2898,7.944444444444445
1366,3325,162,3487,20.52469135802469
1374,2709,143,2852,18.944055944055943
1379,3372,363,3735,9.289256198347108
1381,2843,156,2999,18.22435897435897
1394,3498,110,3608,31.8
1409,3861,123,3984,31.390243902439025
1413,2608,258,2866,10.108527131782946
1414,3415,280,3695,12.196428571428571
1416,2823,107,2930,26.38317757009346
1428,2223,188,2411,11.824468085106384
1434,1880,88,1968,21.363636363636363
1449,3607,459,4066,7.85838779956427
1452,3750,122,3872,30.737704918032787
1462,3238,140,3378,23.12857142857143
1464,3813,239,4052,15.95397489539749
1469,3755,239,3994,15.711297071129708
1470,1915,98,2013,19.540816326530614
1481,2715,161,2876,16.86335403726708
1483,3213,141,3354,22.78723404255319
1493,3432,251,3683,13.673306772908369
1494,2541,179,2720,14.195530726256983
1497,2888,159,3047,18.163522012578618
1499,2954,203,3157,14.551724137931034
1501,1800,246,2046,7.317073170731708
1503,2163,85,2248,25.44705882352941
1506,2874,83,2957,34.626506024096386
1513,3858,165,4023,23.381818181818183
1526,2696,222,2918,12.144144144144144
1530,3825,172,3997,22.23837209302325
1535,3478,178,3656,19.53932584269663
1542,2204,142,2346,15.52112676056338
1544,2609,233,2842,11.197424892703864
1545,3881,130,4011,29.853846153846156
1547,2283,941,3224,2.426142401700319
1572,3490,126,3616,27.6984126984127
1575,1448,109,1557,13.284403669724773
1576,1241,84,1325,14.773809523809524
1584,3902,117,4019,33.35042735042735
1585,3738,202,3940,18.504950495049503
1588,1151,392,1543,2.936224489795918
1591,1538,118,1656,13.033898305084746
1594,1990,93,2083,21.397849462365592
1609,1552,264,1816,5.878787878787879
1618,3754,75,3829,50.053333333333335
1627,2509,258,2767,9.724806201550388
1633,3417,79,3496,43.25316455696203
1636,2974,283,3257,10.508833922261484
1647,2387,171,2558,13.95906432748538
1651,2194,263,2457,8.342205323193916
1652,3674,50,3724,73.48
1662,3239,126,3365,25.70634920634921
1682,2604,194,2798,13.422680412371134
1683,1426,292,1718,4.883561643835616
1687,3603,148,3751,24.344594594594597
1688,2601,138,2739,18.847826086956523
1694,887,137,1024,6.474452554744525
1697,1687,292,1979,5.777397260273973
1699,3063,83,3146,36.90361445783133
1700,3858,133,3991,29.00751879699248
1705,3739,156,3895,23.96794871794872
1713,3311,445,3756,7.440449438202247
1716,3242,185,3427,17.524324324324326
1717,3650,273,3923,13.36996336996337
1726,2091,201,2292,10.402985074626866
1738,2025,277,2302,7.310469314079422
1746,1419,468,1887,3.032051282051282
1758,2838,142,2980,19.985915492957748
1771,1242,453,1695,2.741721854304636
1774,3518,144,3662,24.43055555555556
1782,2442,350,2792,6.977142857142857
1785,2712,137,2849,19.79562043795621
1787,2685,128,2813,20.9765625
1790,2912,338,3250,8.615384615384615
1794,3466,205,3671,16.90731707317073
1796,2784,204,2988,13.647058823529411
1797,2781,137,2918,20.2992700729927
1804,1742,136,1878,12.808823529411764
1810,2537,152,2689,16.69078947368421
1816,3533,226,3759,15.632743362831858
1817,2097,150,2247,13.98
1820,2544,46,2590,55.30434782608695
1821,2536,993,3529,2.553877139979859
1826,3742,64,3806,58.46875
1846,3375,206,3581,16.383495145631066
1849,3865,52,3917,74.32692307692308
1857,1529,215,1744,7.111627906976744
1858,2101,122,2223,17.221311475409838
1870,3792,193,3985,19.647668393782386
1875,3126,80,3206,39.075
1877,445,2170,2615,0.2050691244239631
1882,596,2303,2899,0.2587928788536691
1883,2348,174,2522,13.494252873563218
1894,139,3651,3790,0.0380717611613256
1897,2867,183,3050,15.666666666666666
1900,2509,79,2588,31.75949367088608
1918,2848,164,3012,17.365853658536587
1925,3390,314,3704,10.796178343949045
1928,1688,233,1921,7.244635193133047
1974,3378,142,3520,23.7887323943662
1980,3940,70,4010,56.285714285714285
2014,3763,186,3949,20.231182795698924
2016,3144,79,3223,39.79746835443038
2017,3198,219,3417,14.602739726027398
2026,3154,154,3308,20.48051948051948
2027,2735,101,2836,27.07920792079208
2036,2064,90,2154,22.933333333333334
2071,3306,94,3400,35.170212765957444
2074,1765,147,1912,12.006802721088436
2091,3902,115,4017,33.93043478260869
2094,2926,127,3053,23.03937007874016
2095,2266,82,2348,27.634146341463413
2097,3264,235,3499,13.88936170212766
2099,1541,80,1621,19.2625
2101,1394,164,1558,8.5
2108,3006,143,3149,21.02097902097902
2111,2469,63,2532,39.19047619047619
2112,2468,170,2638,14.51764705882353
2119,3217,150,3367,21.446666666666665
2127,2388,166,2554,14.385542168674698
2132,3509,200,3709,17.545
2152,2143,228,2371,9.399122807017545
2172,2973,105,3078,28.314285714285717
2194,2931,318,3249,9.216981132075473
2196,3541,116,3657,30.52586206896552
2201,3951,98,4049,40.31632653061224
2205,3275,337,3612,9.718100890207715
2208,3112,87,3199,35.770114942528735
2228,3754,244,3998,15.385245901639344
2230,2626,799,3425,3.2866082603254068
2252,3350,85,3435,39.41176470588236
2267,3400,47,3447,72.34042553191489
2278,1836,201,2037,9.134328358208956
2287,2071,167,2238,12.401197604790418
2290,3425,426,3851,8.039906103286384
2296,3772,263,4035,14.342205323193916
2300,3169,189,3358,16.767195767195766
2304,3837,163,4000,23.539877300613497
2319,1581,229,1810,6.903930131004367
2320,2805,124,2929,22.620967741935484
2328,2239,272,2511,8.231617647058824
2332,822,2934,3756,0.280163599182004
2334,2845,185,3030,15.37837837837838
2336,3676,64,3740,57.4375
2345,3084,102,3186,30.235294117647054
2355,1782,83,1865,21.46987951807229
2365,3068,74,3142,41.45945945945946
2369,2615,52,2667,50.28846153846154
2374,3574,234,3808,15.273504273504274
2379,2981,431,3412,6.916473317865429
2380,1797,336,2133,5.348214285714286
2388,3012,156,3168,19.307692307692307
2391,45,3176,3221,0.014168765743073
2392,2264,104,2368,21.76923076923077
2393,1646,252,1898,6.531746031746032
2395,2955,309,3264,9.563106796116504
2397,3719,86,3805,43.24418604651163
2400,3466,43,3509,80.6046511627907
2404,2069,57,2126,36.29824561403509
2409,2158,107,2265,20.16822429906542
2421,1059,278,1337,3.8093525179856114
2422,2627,119,2746,22.07563025210084
2423,3483,103,3586,33.81553398058252
2424,2795,470,3265,5.946808510638298
2432,3312,247,3559,13.408906882591094
2433,1749,154,1903,11.357142857142858
2434,3597,205,3802,17.546341463414635
2437,3364,54,3418,62.2962962962963
2443,3443,147,3590,23.421768707482997
2445,3674,226,3900,16.256637168141594
2455,3285,187,3472,17.566844919786096
2457,3067,124,3191,24.733870967741936
2460,3044,146,3190,20.84931506849315
2481,1184,249,1433,4.755020080321285
2484,3713,146,3859,25.431506849315067
2493,1166,67,1233,17.402985074626866
2494,3214,70,3284,45.91428571428571
2498,2320,227,2547,10.220264317180616
2502,3817,150,3967,25.446666666666665
2513,1549,291,1840,5.323024054982818
2529,1429,91,1520,15.703296703296704
2531,1535,669,2204,2.294469357249626
2538,2701,166,2867,16.271084337349397
2548,2773,505,3278,5.491089108910892
2549,1648,2192,3840,0.7518248175182481
2560,1863,157,2020,11.86624203821656
2567,3804,46,3850,82.69565217391305
2588,3794,269,4063,14.104089219330856
2596,3610,172,3782,20.98837209302325
2606,3915,125,4040,31.32
2611,912,112,1024,8.142857142857142
2617,3554,222,3776,16.00900900900901
2625,2563,79,2642,32.44303797468354
2630,3326,195,3521,17.056410256410256
2643,2667,281,2948,9.491103202846976
2645,3695,111,3806,33.288288288288285
2659,1759,212,1971,8.297169811320755
2661,2095,156,2251,13.42948717948718
2666,2138,120,2258,17.816666666666666
2672,3390,78,3468,43.46153846153846
2676,2728,366,3094,7.453551912568306
2680,3693,387,4080,9.542635658914728
2687,2861,251,3112,11.398406374501992
2697,3041,90,3131,33.78888888888889
2702,927,3110,4037,0.2980707395498392
2709,3195,180,3375,17.75
2710,3049,48,3097,63.520833333333336
2727,2670,109,2779,24.495412844036696
2747,3472,65,3537,53.41538461538462
2766,328,214,542,1.5327102803738315
2771,2744,86,2830,31.906976744186046
2786,2759,391,3150,7.056265984654732
2836,3382,332,3714,10.186746987951809
2839,3206,196,3402,16.357142857142858
2848,2963,267,3230,11.097378277153558
2852,2690,139,2829,19.35251798561151
2853,3818,80,3898,47.725
2860,2185,40,2225,54.625
2863,3024,252,3276,12.0
2873,1549,181,1730,8.558011049723756
2874,189,2082,2271,0.0907780979827089
2875,3642,223,3865,16.331838565022423
2885,2391,193,2584,12.38860103626943
2892,3167,133,3300,23.81203007518797
2912,1719,124,1843,13.862903225806452
2914,2982,125,3107,23.856
2919,1093,217,1310,5.0368663594470044
2921,1424,144,1568,9.88888888888889
2925,3697,130,3827,28.43846153846154
2930,2603,160,2763,16.26875
2934,2334,181,2515,12.895027624309392
2949,1186,119,1305,9.966386554621849
2954,2823,111,2934,25.43243243243243
2958,1192,456,1648,2.6140350877192984
2969,3062,91,3153,33.64835164835165
2976,2152,88,2240,24.454545454545453
2980,3374,105,3479,32.13333333333333
2982,2072,127,2199,16.31496062992126
2986,1573,203,1776,7.748768472906404
2988,2258,303,2561,7.452145214521452
2994,1962,148,2110,13.256756756756756
3006,798,143,941,5.580419580419581
3018,3638,155,3793,23.470967741935485
3037,2664,189,2853,14.095238095238097
3042,2994,166,3160,18.03614457831325
3044,3322,138,3460,24.07246376811594
3048,668,122,790,5.475409836065574
3062,3355,76,3431,44.14473684210526
3066,3232,157,3389,20.585987261146496
3071,3252,406,3658,8.009852216748769
3078,3224,367,3591,8.784741144414168
3084,1022,111,1133,9.207207207207206
3086,3164,124,3288,25.516129032258064
3091,1002,195,1197,5.138461538461539
3097,3121,141,3262,22.134751773049647
3098,3837,240,4077,15.9875
3100,3389,231,3620,14.670995670995673
3101,2688,285,2973,9.43157894736842
3111,1987,255,2242,7.792156862745098
3117,3864,137,4001,28.204379562043798
3119,3335,101,3436,33.01980198019802
3142,1821,238,2059,7.651260504201681
3157,3798,259,4057,14.664092664092664
3158,3847,249,4096,15.449799196787149
3167,1992,55,2047,36.21818181818182
3172,3010,98,3108,30.714285714285715
3188,3186,151,3337,21.09933774834437
3201,3373,240,3613,14.054166666666667
3204,3488,224,3712,15.571428571428571
3207,814,344,1158,2.366279069767442
3209,1578,182,1760,8.67032967032967
3212,3724,114,3838,32.666666666666664
3234,1991,191,2182,10.424083769633508
3236,2657,289,2946,9.193771626297575
3238,2713,77,2790,35.23376623376623
3251,3722,234,3956,15.905982905982906
3256,2958,129,3087,22.930232558139537
3258,3450,244,3694,14.13934426229508
3268,2061,64,2125,32.203125
3270,1883,167,2050,11.275449101796408
3276,2935,240,3175,12.229166666666666
3278,3453,157,3610,21.993630573248407
3282,1460,129,1589,11.317829457364342
3285,2722,177,2899,15.378531073446329
3306,2568,312,2880,8.23076923076923
3314,3312,135,3447,24.53333333333333
3324,3387,106,3493,31.952830188679247
3333,3102,85,3187,36.49411764705882
3335,3951,131,4082,30.16030534351145
3342,2521,256,2777,9.84765625
3352,3057,223,3280,13.708520179372195
3358,2684,123,2807,21.821138211382117
3365,3436,100,3536,34.36
3367,2077,136,2213,15.272058823529411
3372,2360,570,2930,4.140350877192983
3375,1772,148,1920,11.972972972972974
3378,1998,1117,3115,1.7887197851387646
3379,1810,194,2004,9.329896907216495
3395,96,1193,1289,0.0804694048616932
3408,3430,597,4027,5.745393634840871
3419,2979,56,3035,53.19642857142857
3426,2778,220,2998,12.627272727272729
3439,19,3727,3746,0.0050979339951703
3451,2001,98,2099,20.418367346938776
3458,3656,299,3955,12.22742474916388
3465,3280,114,3394,28.771929824561404
3467,2321,265,2586,8.758490566037736
3473,3558,286,3844,12.44055944055944
3474,3609,163,3772,22.141104294478527
3480,2774,148,2922,18.74324324324324
3481,3636,101,3737,36.0
3501,3335,276,3611,12.083333333333334
3503,2822,89,2911,31.707865168539325
3511,1327,277,1604,4.790613718411552
3567,2551,390,2941,6.541025641025641
3577,2000,132,2132,15.151515151515152
3583,2920,244,3164,11.9672131147541
3587,1292,151,1443,8.556291390728477
3591,3321,90,3411,36.9
3594,3813,198,4011,19.25757575757576
3596,3615,477,4092,7.578616352201258
3599,35,2645,2680,0.0132325141776937
3604,2217,56,2273,39.58928571428572
3607,3573,181,3754,19.740331491712706
3612,3117,237,3354,13.151898734177216
3613,1927,51,1978,37.78431372549019
3614,2916,161,3077,18.111801242236027
3616,2129,176,2305,12.096590909090908
3634,167,2130,2297,0.0784037558685446
3640,658,2709,3367,0.2428940568475452
3643,3860,96,3956,40.208333333333336
3655,1,3293,3294,0.0003036744609778
3658,2061,68,2129,30.308823529411764
3665,1813,192,2005,9.442708333333334
3673,3438,158,3596,21.75949367088608
3679,3645,294,3939,12.39795918367347
3694,3819,240,4059,15.9125
3701,3478,12,3490,289.8333333333333
3711,3106,149,3255,20.845637583892614
3719,3262,323,3585,10.09907120743034
3724,2630,207,2837,12.705314009661835
3741,2587,312,2899,8.291666666666666
3744,2027,83,2110,24.42168674698795
3751,2791,315,3106,8.86031746031746
3756,1194,207,1401,5.768115942028985
3767,3114,11,3125,283.09090909090907
3770,2061,136,2197,15.154411764705882
3780,2903,369,3272,7.867208672086721
3784,3204,133,3337,24.090225563909776
3788,3927,110,4037,35.7
3791,3851,235,4086,16.387234042553192
3803,2546,74,2620,34.4054054054054
3804,681,37,718,18.405405405405407
3811,3858,220,4078,17.536363636363635
3820,3078,135,3213,22.8
3823,2913,296,3209,9.841216216216216
3825,3934,109,4043,36.091743119266056
3831,1930,205,2135,9.414634146341465
3854,3828,268,4096,14.28358208955224
3855,1405,109,1514,12.889908256880734
3858,787,126,913,6.246031746031746
3865,3824,97,3921,39.422680412371136
3882,2337,123,2460,19.0
3885,2311,171,2482,13.514619883040936
3889,3189,439,3628,7.264236902050114
3895,3540,103,3643,34.36893203883495
3896,1614,52,1666,31.03846153846154
3898,2600,156,2756,16.666666666666668
3901,1881,294,2175,6.3979591836734695
3932,2555,244,2799,10.471311475409836
3948,2857,130,2987,21.976923076923075
3959,2528,95,2623,26.610526315789475
3967,2807,107,2914,26.233644859813083
3982,2440,223,2663,10.94170403587444
3995,3749,292,4041,12.83904109589041
4006,916,150,1066,6.1066666666666665
4008,3320,158,3478,21.0126582278481
4018,1606,118,1724,13.610169491525424
4039,3595,259,3854,13.88030888030888
4040,53,3630,3683,0.0146005509641873
4051,3093,108,3201,28.63888888888889
4059,2359,172,2531,13.715116279069768
4065,1454,143,1597,10.167832167832168
4067,3629,181,3810,20.04972375690608
4069,2713,289,3002,9.387543252595156
4073,3879,144,4023,26.9375
4079,1905,118,2023,16.14406779661017
4085,1455,65,1520,22.384615384615383
4093,2421,107,2528,22.626168224299064
4107,808,206,1014,3.9223300970873782
4109,3858,25,3883,154.32
4112,2646,283,2929,9.349823321554773
4114,2962,134,3096,22.104477611940297
4126,3389,272,3661,12.459558823529411
4139,3854,149,4003,25.86577181208054
4145,2238,174,2412,12.862068965517242
4146,761,90,851,8.455555555555556
4147,1904,261,2165,7.295019157088123
4149,3341,104,3445,32.125
4157,2535,134,2669,18.917910447761194
4162,630,112,742,5.625
4171,2530,259,2789,9.768339768339768
4191,908,255,1163,3.56078431372549
4196,201,196,397,1.0255102040816326
4197,3711,102,3813,36.38235294117647
4209,2691,65,2756,41.4
4211,1435,253,1688,5.67193675889328
4214,964,1652,2616,0.5835351089588378
4216,2886,260,3146,11.1
4220,3666,138,3804,26.565217391304348
4227,87,2206,2293,0.0394378966455122
4237,3838,167,4005,22.982035928143716
4244,2389,148,2537,16.14189189189189
4260,3621,46,3667,78.71739130434783
4262,2042,194,2236,10.525773195876289
4263,3615,90,3705,40.16666666666666
4264,3924,88,4012,44.59090909090909
4266,3498,126,3624,27.761904761904763
4270,1292,128,1420,10.09375
4283,2729,149,2878,18.315436241610737
4309,3737,214,3951,17.462616822429908
4311,3252,110,3362,29.563636363636363
4322,3746,152,3898,24.644736842105264
4326,3375,439,3814,7.687927107061504
4342,2520,588,3108,4.285714285714286
4345,2219,67,2286,33.11940298507463
4358,3737,155,3892,24.10967741935484
4363,3820,215,4035,17.767441860465116
4368,3164,74,3238,42.75675675675676
4377,1949,136,2085,14.330882352941176
4378,969,124,1093,7.814516129032258
4381,2059,137,2196,15.02919708029197
4386,3545,86,3631,41.22093023255814
4396,1676,76,1752,22.05263157894737
4406,1810,184,1994,9.83695652173913
4409,3554,94,3648,37.80851063829788
4417,2794,53,2847,52.71698113207548
4441,3142,190,3332,16.53684210526316
4444,1443,186,1629,7.758064516129032
4445,3350,164,3514,20.42682926829268
4452,1045,181,1226,5.773480662983426
4454,2793,74,2867,37.74324324324324
4463,3629,240,3869,15.120833333333334
4465,3671,266,3937,13.800751879699249
4467,3707,83,3790,44.66265060240964
4469,3592,355,3947,10.11830985915493
4476,3809,151,3960,25.225165562913908
4477,3295,201,3496,16.393034825870647
4478,3030,302,3332,10.033112582781458
4480,3639,370,4009,9.835135135135134
4481,3458,202,3660,17.11881188118812
4508,2696,109,2805,24.73394495412844
4512,2166,208,2374,10.413461538461538
4515,3700,144,3844,25.694444444444443
4527,2086,346,2432,6.028901734104046
4529,2324,265,2589,8.769811320754718
4532,3928,113,4041,34.76106194690266
4543,711,135,846,5.266666666666667
4544,1957,196,2153,9.98469387755102
4546,2459,627,3086,3.9218500797448166
4552,2775,1170,3945,2.371794871794872
4568,3002,201,3203,14.935323383084578
4571,3627,90,3717,40.3
4590,2102,134,2236,15.686567164179104
4596,2825,174,2999,16.235632183908045
4597,1604,135,1739,11.88148148148148
4610,2277,120,2397,18.975
4620,2337,228,2565,10.25
4623,1915,106,2021,18.066037735849054
4625,2501,176,2677,14.210227272727272
4632,2293,86,2379,26.662790697674417
4640,3342,474,3816,7.050632911392405
4658,3479,317,3796,10.974763406940063
4661,3646,338,3984,10.78698224852071
4664,1655,174,1829,9.511494252873565
4667,2627,139,2766,18.899280575539567
4672,2642,268,2910,9.85820895522388
4683,2988,232,3220,12.879310344827584
4695,1839,120,1959,15.325
4701,2936,125,3061,23.488
4704,2572,135,2707,19.05185185185185
4707,3185,443,3628,7.18961625282167
4709,1555,208,1763,7.475961538461538
4721,120,2181,2301,0.0550206327372764
4730,2342,187,2529,12.524064171122994
4742,2557,212,2769,12.06132075471698
4743,2447,89,2536,27.49438202247191
4755,888,173,1061,5.132947976878612
4767,1879,80,1959,23.4875
4774,3587,113,3700,31.74336283185841
4775,3806,62,3868,61.38709677419355
4779,2354,51,2405,46.15686274509804
4785,3037,161,3198,18.86335403726708
4788,2328,204,2532,11.411764705882351
4794,3615,251,3866,14.402390438247012
4796,2854,126,2980,22.65079365079365
4806,3508,84,3592,41.76190476190476
4807,780,2572,3352,0.3032659409020217
4831,3168,239,3407,13.255230125523012
4832,172,2868,3040,0.0599721059972106
4839,3795,54,3849,70.27777777777777
4841,3791,84,3875,45.13095238095238
4845,2964,223,3187,13.291479820627805
4846,2866,165,3031,17.36969696969697
4849,841,159,1000,5.289308176100629
4857,2718,145,2863,18.744827586206892
4859,2994,155,3149,19.316129032258065
4861,3280,254,3534,12.913385826771654
4870,2226,314,2540,7.089171974522293
4879,2080,460,2540,4.521739130434782
4884,1894,269,2163,7.04089219330855
4893,3693,228,3921,16.19736842105263
4896,3600,262,3862,13.740458015267176
4906,3749,104,3853,36.04807692307692
4910,2961,80,3041,37.0125
4912,3261,209,3470,15.602870813397129
4915,3534,113,3647,31.27433628318584
4918,3159,133,3292,23.75187969924812
4927,895,46,941,19.456521739130437
4936,1107,192,1299,5.765625
4941,1768,99,1867,17.858585858585858
4947,1837,117,1954,15.7008547008547
4953,3365,97,3462,34.69072164948454
4956,2448,320,2768,7.65
4961,1879,269,2148,6.985130111524164
4968,608,2334,2942,0.260497000856898
4971,1980,398,2378,4.974874371859296
4975,3882,140,4022,27.728571428571428
4980,2199,97,2296,22.670103092783503
4981,2161,111,2272,19.46846846846847
4993,1621,237,1858,6.839662447257384
4998,2774,91,2865,30.48351648351648
5001,1886,273,2159,6.908424908424909
5003,3346,81,3427,41.30864197530864
5008,3589,146,3735,24.58219178082192
5018,3048,268,3316,11.373134328358208
5026,2993,143,3136,20.93006993006993
5035,3371,254,3625,13.271653543307089
5038,2693,105,2798,25.64761904761905
5059,1075,216,1291,4.976851851851852
5061,2742,63,2805,43.523809523809526
5066,2982,96,3078,31.0625
5070,3480,300,3780,11.6
5078,1109,202,1311,5.49009900990099
5088,3029,136,3165,22.272058823529413
5093,3189,95,3284,33.56842105263158
5099,3162,90,3252,35.13333333333333
